filename,Date (Farsi),Date (Gregorian),Date (Normalized),Place (Transliterated),Place (Farsi),City (LCSH or Transliterated),City (Farsi),Country (English),Country (Farsi),Description (English),Description (Farsi),Keywords/Chants/Slogans (English),Keywords/Chants/Slogans (Farsi),Names (Transliterated),Names (Farsi),Title (English),Title (Farsi),Genre,typeOfResource,"Lat, Lon"
diaspora2_001.mp4,,,,University of Tehran ,دانشگاه تهران,Tehran (Iran),تهران,Iran,ایران,"Students at University of Tehran interrupt a speech by Hossein Saffar Harandi, the minister of culture at the time, by shouting out Mousavi's name (the opposition leader in the 2009 elections). When the Basiji students start to intervene, the students start chanting ""Quota student turns into this [hardline student]"".(As a reward for the Student Basij Organization’s loyalty and to support its continued growth, the government passed the law allocating a special quota for entrance to tuition-free state universities and to Islamic Azad University for active Basij students) ","دانشجویان دانشگاه تهران با فریاد نام موسوی، سخنرانی حسین صفار هرندی، وزیر فرهنگ و ارشاد اسلامی وقت، را قطع می کنند.  بسیجیان سعی می کنند که با شعاردهندگان برخورد کنند و با شعار""دانشجوی سهمیه، همینه همینه"" مواجه می شوند.",Basij / Quota students ,بسیج / دانشجوی سهمیه,Mohammad-Hossein Saffar-Harandi,محمد حسین صفار هرندی,Saffar Harandi's speech interrupted by university of Tehran students,قطع کردن سخنرانی صفار هرندی توسط دانشجویان دانشگاه تهران,video recordings,moving image,"35.705808, 51.402091"
diaspora2_002.mp4,,,,University of Tehran ,دانشگاه تهران,Tehran (Iran),تهران,Iran,ایران,"Students at University of Tehran interrupt a speech by Hossein Saffar Harandi, the minister of culture at the time, by shouting out ""Get out of here murderer"".","دانشجویان دانشگاه تهران با شعار ""قاتل برو بیرون""، سخنرانی حسین صفار هرندی، وزیر فرهنگ و ارشاد اسلامی وقت، را قطع می کنند.",Get out of here murderer,قاتل برو بیرون,Mohammad-Hossein Saffar-Harandi,محمد حسین صفار هرندی,Saffar Harandi's speech interrupted by university of Tehran students,قطع کردن سخنرانی صفار هرندی توسط دانشجویان دانشگاه تهران,video recordings,moving image,"35.705808, 51.402091"
diaspora2_003.mp4,,,,,,,,Iran,ایران,The riot police clash with protesters as they try to clear the streets from people. A group of people taking videos from the rooftop cheer on those who are in the streets as they face the riot police and try to keep their ground.,پلیس ضد شورش با مردم درگیر می شوند تا آن ها را از خیابان ها بیرون کنند. گروهی از مردم که از پشت بام ها در حال فیلم گرفتن هستند، تظاهرات کنندگان را تشویق می کنند که در خیابان ها بمانند و در برابر پلیس مقاومت کنند.,Riot Police,پلیس ضد شورش,,,Protest ,تظاهرات,video recordings,moving image,
diaspora2_004.mp4,,,,,,,,Iran,ایران,"Basij forces attack one of the protesters. People try to save the person. The people taking the video exclaim ""they're killing him!""",افراد لباس شخصی به یکی از تظاهرات کنندگان حمله کرده اند و مردم برای نجات دادن فرد تلاش می کنند. فیلمبرداران اظهار نگرانی می کنند که فرد مورد حمله کشته خواهد شد.,Police Brutality,خشونت پلیس,,,Protest ,تظاهرات,video recordings,moving image,
diaspora2_005.mp4,,,,,,,,Iran,ایران,"A group of people are trying to defend themselves agains the riot police and are chanting ""Down with the dictator"".","عده ای همراه با فریاد ""مرگ بر دیکتاتور""  از خود در برابر پلیس ضد شورش دفاع می کنند.",Riot Police / Down with the Dictator,پلیس ضد شورش / مرگ بر دیکتاتور ,,,Protest ,تظاهرات,video recordings,moving image,
diaspora2_006.mp4,,,,,,,,Iran,ایران,Riot police is trying to keep the streets empty by taking it over and threatening people from coming closer. They are throwing rocks at the glass windows and at the people. The group taking the video discuss how the dictatorship regime needs to be taken down.,پلیس ضد شورش برای خالی کردن خیابان ها جمع شده اند و تهدیدکنان مردم را دور نگه می دارند. آن ها به سمت مردم و پنجره های شیشه ای سنگ پرتاب می کنند. گروه در حال فیلم برداری در مورد گروه های مختلف ضد مردم و نظام دیکتاتوری بحث می کنند.,Riot Police,پلیس ضد شورش,,,Protest ,تظاهرات,video recordings,moving image,
diaspora2_007.mp4,,,,,,,,Iran,ایران,Riot police is trying to keep the streets empty by taking it over and threatening people from coming closer. They are throwing rocks at the glass windows and at the people. The group taking the video discuss that the police are wearing masks which means they are going to start attacking.,پلیس ضد شورش برای خالی کردن خیابان ها جمع شده اند و تهدیدکنان مردم را دور نگه می دارند. آن ها به سمت مردم و پنجره های شیشه ای سنگ پرتاب می کنند.,Riot Police,پلیس ضد شورش,,,Protest ,تظاهرات,video recordings,moving image,
diaspora2_008.mp4,,,,,,,,Iran,ایران,People create traffic to protest and show their objection to the government. Drivers are honking as the government helicopter flies above the people.,در حالی که هلیکوپتر دولتی در آسمان دیده می شود، مردم برای نشان دادن اعتراض خود ترافیک ایجاد می کنند و بوق می زنند. ,Protest ,تظاهرات,,,Protest ,تظاهرات,video recordings,moving image,
diaspora2_009.mp4,,,,,,,,Iran,ایران,Riot police is trying to keep the streets empty by taking it over and threatening people from coming closer.,پلیس ضد شورش برای خالی کردن خیابان ها جمع شده اند و تهدیدکنان مردم را دور نگه می دارند.,Riot Police,پلیس ضد شورش,,,Protest ,تظاهرات,video recordings,moving image,
diaspora2_010.mp4,,,,,,,,Iran,ایران,"People gathered in the street Dentistry to protest and chant ""Allahu Akbar"" (God is [the] Greatest).",مردم برای نشان دادن اعتراض خود، در برابر دانشکده دندانپزشکی ؟؟؟ جمع شده اند و فریاد الله اکبر می زنند.,Riot Police / Allahu Akbar,پلیس ضد شورش / الله اکبر,,,Protest ,تظاهرات,video recordings,moving image,
diaspora2_011.mp4,,,,,,,,Iran,ایران,"People gathered in the street to protest and chant ""Down with the dictator"".","مردم برای نشان دادن اعتراض خود، در برابر دانشکده دندانپزشکی ؟؟؟ جمع شده اند و""مرگ بر دیکتاتور"" فریاد می زنند.",Riot Police / Down with the Dictator,پلیس ضد شورش / مرگ بر دیکتاتور ,,,Protest ,تظاهرات,video recordings,moving image,
diaspora2_012.mp4,,,,,,,,Iran,ایران,"People gathered in the street to protest and chant ""Death to Khamenei"".","مردم برای نشان دادن اعتراض خود، در برابر دانشکده دندانپزشکی ؟؟؟ جمع شده اند و شعار ""مرگ بر خامنه ای"" می دهند.",Riot Police / Death to Khamenei,پلیس ضد شورش / مرگ بر خامنه ای,Ali Khamenei ,علی,Protest ,تظاهرات,video recordings,moving image,
diaspora2_013.mp4,,,,,,Tehran (Iran),تهران,Iran,ایران,"People gather in the streets to protest. They yell  ""Allahu Akbar"" (God is [the] Greatest) and try to protect themselves from the riot police by moving in groups.","مردم به اعتراض در خیابان ها جمع شده اند و ""الله اکبر"" فریاد می زنند. آن ها سعی می کنند با حرکت گروهی از خود در برابر پلیس ضد شورش دفاع کنند.",Riot Police / Allahu Akbar,پلیس ضد شورش / الله اکبر,,,Protest ,تظاهرات,video recordings,moving image,"35.689198, 51.388974"
