filename,Date (Farsi),Date (Gregorian),Date (Normalized),Place (English),Place (Farsi),City (English-LCSH),City (Farsi),Country (English),Country (Farsi),Description (English),Description (Farsi),Keywords/Chants/Slogans (English),Keywords/Chants/Slogans (Farsi),Names (English),Names (Farsi),Title (English),Title (Farsi),Physical Type,Genre (English),"Lat, Lon"
rasatv1_001.mp4,۱۳۹۰/۰۱/۰۳,3/23/11,2011-03-23,,,Kuala Lumpur ,کوالا لامپور,Malaysia,مالزی,"This video is a RASA TV special program for the Iranian New Year. This program includes a song by Homayoun Shajarian, a Happy New Year message from the Green Movement leaders, Mir Hossein Mousavi and Mehdi Karroubi. ",این ویدیو به ویژه برنامهٔ تلویزیون رسا برای نوروز اختصاص داده شده است. این برنامه شامل ترانه از همایون شجریان، و پیام تبریک نوروز از رهبران جنبش سبز، میر حسین موسوی و مهدی کروبی، میباشد.,RASA TV , تلویزیون رسا,Mir-Hossein Mousavi / Mehdi Karroubi / Homayoun Shajarian ,میرحسین موسوی / مهدی کروبی / همایون شجریان,Iranian New Year Special   ,ویژه برنامه نوروز ,moving image,Television programs,"3.1333,101.6833"
rasatv1_002.mp4,۱۳۹۰/۱۲/۰۱,4/1/11,2011-04-01,,,Kuala Lumpur ,کوالا لامپور,Malaysia,مالزی,This video is a RASA TV special program for the Iranian New Year. This program includes an interview with Dr. Sadegh Tabatabaei.,این ویدیو به ویژه برنامهٔ تلویزیون رسا برای نوروز اختصاص داده شده است. این برنامه شامل مصاحبه با دکتر صادق طباطبائی میباشد,RASA TV , تلویزیون رسا,Sadeq Tabatabaei,صادق طباطبایی,Iranian New Year Special   ,ویژه برنامه نوروز ,moving image,Television programs,"3.1333,101.6833"
rasatv1_003.mp4,۱۳۹۰/۰۶/۰۳,8/25/11,2011-08-25,,,Kuala Lumpur ,کوالا لامپور,Malaysia,مالزی,This video covers a statement released by the Coordination Council of the Green Path of Hope regarding the fall of Libyan dictator leader. ,این ویدیو به بیانیه شورای هماهنگی پیرامون سقوط دیکتاتور لیبی میپردازد.,RASA TV , تلویزیون رسا,,,A Statement released by the Coordination Council of the Green Path of Hope  ,بیانیه شورای هماهنگی,moving image,Television programs,"3.1333,101.6833"
rasatv1_004.mp4,۱۳۹۰/۰۵/۲۱,8/12/11,2011-08-12,,,Kuala Lumpur ,کوالا لامپور,Malaysia,مالزی,This video is a RASA TV special program on the role of elections in dictatorships.,این ویدیو به ویژه برنامهٔ تلویزیون رسا پیرامون نقش انتخابات در رژیمهای دیکتاتوری اختصاص داده شده است.,RASA TV , تلویزیون رسا,,,RASA TV Special Program,ویژه برنامهٔ تلویزیون رسا,moving image,Television programs,"3.1333,101.6833"
rasatv1_005.mp4,۱۳۹۰/۰۳/۰۲,5/23/11,2011-05-23,,,Kuala Lumpur ,کوالا لامپور,Malaysia,مالزی,"This video is a RASA TV special program on the life and accomplishments of Naser Hejazi, an Iranian soccer player and couch. ",این ویدیو به ویژه برنامهٔ تلویزیون رسا پیرامون زندگی و دستاورد های ناصر حجازی بازیکن و مربی فوتبال ایرانی میپردازد.,RASA TV ,تلویزیون رسا ,Naser Hejazi,ناصر حجازی,RASA TV Special Program,ویژه برنامهٔ تلویزیون رسا,moving image,Television programs,"3.1333,101.6833"
rasatv1_006.mp4,۱۳۹۰/۰۱/۳۰,4/19/11,2011-04-19,,,Kuala Lumpur ,کوالا لامپور,Malaysia,مالزی,This video is a RASA TV special program on the resignation of Behzad Nabavi from the 6th parliament of Iran.,این ویدیو به ویژه برنامهٔ تلویزیون رسا پیرامون استعفای بهزاد نبوی از مجلس ششم ایران اختصاص داده شده است.,RASA TV , تلویزیون رسا,Behzad Nabavi,بهزاد نبوی,RASA TV Special Program,ویژه برنامهٔ تلویزیون رسا,moving image,Television programs,"3.1333,101.6833"
rasatv1_007.mp4,۱۳۹۰/۰۱/۰۲,3/22/11,2011-03-22,,,Kuala Lumpur ,کوالا لامپور,Malaysia,مالزی,"This video is a RASA TV special program for the Iranian New Year. This program includes a song by Fereydoun and Happy New Year messages from Mehdi Kadivar, Mohammad-Reza Shajarian, Ali Mazrooei, Simin Behbahani, and Ahmad Ghabel. ",این ویدیو به ویژه برنامهٔ تلویزیون رسا برای نوروز اختصاص داده شده است. این برنامه شامل ترانه از فریدون، و پیام تبریک سال نو از طرف مهدی کدیور، محمدرضا شجریان، علی مزروعی، سیمین بهبهانی و احمد قابل میباشد.,RASA TV , تلویزیون رسا,Mehdi Kadivar / Mohammad-Reza Shajarian / Ali Mazrooei /Simin Behbahani / Ahmad Ghabel,مهدی کدیور/ محمدرضا شجریان / علی مزروعی / سیمین بهبهانی / احمد قابل, Iranian New Year Special   ,ویژه برنامه نوروز ,moving image,Television programs,"3.1333,101.6833"
rasatv1_008.mp4,۱۳۹۰/۰۱/۰۱,3/21/11,2011-03-21,,,Kuala Lumpur ,کوالا لامپور,Malaysia,مالزی,This video is a RASA TV special program for the Iranian New Year. This program includes Happy New Year messages from Ayatollah Montazeri and Ezatollah Sahabi.,این ویدیو به ویژه برنامهٔ تلویزیون رسا برای نوروز اختصاص داده شده است. در این برنامه پیام تبریک سال نو آقایان آیت الله منتظری و عزت الله سحابی پخش میشود.,RASA TV , تلویزیون رسا,Hussein-Ali Montazeri / Ezzatollah Sahabi,حسینعلی منتظری / عزت الله سحابی, Iranian New Year Special   ,ویژه برنامه نوروز ,moving image,Television programs,"3.1333,101.6833"
rasatv1_009.mp4,۱۳۹۰/۰۴/۰۷,6/28/11,2011-06-28,,,Tehran ,تهران,Iran,ایران,"This video is a RASA TV special program on a statement released by Firouzeh Saber. In this statement, she addresses the Iranians who organize protests against the regime outside of Iran. ",این ویدیو به ویژه برنامهٔ تلویزیون رسا پیرامون بیانیه فیروزه صابر اختصاص داده شده است. این بیانیه خطاب به ایرانیان برگزار کنندهٔ تظاهرات علیه رژیم در خارج از کشور می باشد.,RASA TV ,تلویزیون رسا ,Firouzeh Saber,فیروزه صابر,RASA TV Special Program,ویژه برنامهٔ تلویزیون رسا,moving image,Television programs,"35.69439, 51.42151"
rasatv1_010.mp4,۱۳۹۰/۰۶/۰۸,8/30/11,2011-08-30,,,Tehran ,تهران,Iran,ایران,"This video is a RASA TV special program on three political prisoners: Ahmad Zaidabadi, Mahdieh Golroo and Omid Koukabi.",این ویدیو به ویژه برنامهٔ تلویزیون رسا در مورد سه زندانی سیاسی: احمد زیدآبادی، مهدیه گلرو و امید کوکبی اختصاص داده شده است.,RASA TV / Prisoner of Conscience ,تلویزیون رسا / زندانی عقیدتی,Ahmad Zaidabadi / Mahdieh Golroo / Omid Koukabi,احمد زیدآبادی / مهدیه گلرو / امید کوکبی,RASA TV Special Program,ویژه برنامهٔ تلویزیون رسا,moving image,Television programs,"35.69439, 51.42151"
rasatv1_011.mp4,۱۳۹۰/۰۳/۰۲,5/23/11,2011-05-23,,,Tehran ,تهران,Iran,ایران,"This video is a RASA TV Special Report on the events that occurred in Iran’s history of presidential election on May 22, 1997.  ",این ویدیو به گزارش ویژه تلویزیون رسا پیرامون اتفاقات تاریخی انتخابات ریاست جمهوری که در ۱ خرداد ۱۳۷۶ برگزار شد میپردازد.,RASA TV , تلویزیون رسا,,,RASA TV Special Report ,گزارش ویژه تلویزیون رسا,moving image,Television programs,"35.69439, 51.42151"
rasatv1_012.mp4,۱۳۹۰/۰۳/۰۳,5/24/11,2011-05-24,,,Tehran ,تهران,Iran,ایران,This video is a RASA TV Special Report on Mir Hossein Mousavi and his presidential candidacy in the Iranian 2009 presidential election.,این ویدیو به گزارش ویژه تلویزیون رسا از میر حسین موسوی و کاندید شدنش در انتخابات ریاست جمهوری ایران اختصاص داده شده است.,RASA TV ,تلویزیون رسا,Mir-Hossein Mousavi,میرحسین موسوی,RASA TV Special Report ,گزارش ویژه تلویزیون رسا,moving image,Television programs,"35.69439, 51.42151"
rasatv1_013.mp4,۱۳۹۰/۰۲/۱۲,5/2/11,2011-05-02,,,Kuala Lumpur,کوالا لامپور,Malaysia,مالزی,This video is a RASA TV Special Report on the history of International Workers’ Day.,این ویدیو به گزارش ویژه تلویزیون رسا پیرامون روزِ جهانی کارگر اختصاص دارد.,RASA TV , تلویزیون رسا,,,RASA TV Special Report ,گزارش ویژه تلویزیون رسا,moving image,Television programs,"3.1333,101.6833"
rasatv1_014.mp4,۱۳۹۰/۰۱/۲۳,4/12/11,2011-04-12,,,Tehran ,تهران,Iran,ایران,This video is a RASA TV Special Report on the life and accomplishments of Dr. Yadollah Sahabi.,این ویدیو به گزارش ویژه تلویزیون رسا پیرامون زندگی و دستاورد های دکتر ید الله سحابی اختصاص دارد.,RASA TV ,تلویزیون رسا,Yadollah Sahabi,ید الله سحابی,RASA TV Special Report ,گزارش ویژه تلویزیون رسا,moving image,Television programs,"35.69439, 51.42151"
rasatv1_015.mp4,۱۳۹۰/۰۲/۰۹,4/29/11,2011-04-29,,,Tehran ,تهران,Iran,ایران,This video is a RASA TV Special Report on the role of Revolutionary Guards in election of Ahmadinejad as Iranian president.,این ویدیو به گزارش ویژه تلویزیون رسا پیرامون نقش سپاه پاسداران در انتخاب شدن احمدینژاد به عنوان رییس جمهور اختصاص دارد.,RASA TV , تلویزیون رسا,Mahmoud Ahmadinejad,محمود احمدینژاد,RASA TV Special Report ,گزارش ویژه تلویزیون رسا,moving image,Television programs,"35.69439, 51.42151"
rasatv1_016.mp4,۱۳۹۰/۰۲/۰۵,4/25/11,2011-04-25,,,Tehran ,تهران,Iran,ایران,This video is a RASA TV Special Report on increasing involvement of the Revolutionary Guards in economic and political activities.,این ویدیو به گزارش ویژه تلویزیون رسا پیرامون افزایش نفوذ سپاه پاسداران در اقتصاد و سیاست ایران اختصاص داده شده است.,RASA TV , تلویزیون رسا,,,RASA TV Special Report ,گزارش ویژه تلویزیون رسا,moving image,Television programs,"35.69439, 51.42151"
rasatv1_017.mp4,۱۳۹۰/۰۲/۰۳,4/23/11,2011-04-23,,,Tehran ,تهران,Iran,ایران,This video is a RASA TV Special Report on the formation of the Revolutionary Guards and the changes it went through during the first 10 years following the revolution.,این ویدیو به گزارش ویژه تلویزیون رسا پیرامون تاسیس سپاه پاسداران و تغیرات ایجاد شده در آن در طول ۱۰ سال اول انقلاب اختصاص داده شده است.,RASA TV , تلویزیون رسا,,,RASA TV Special Report ,گزارش ویژه تلویزیون رسا,moving image,Television programs,"35.69439, 51.42151"
rasatv1_018.mp4,۱۳۹۰/۰۳/۱۰,5/31/11,2011-05-31,,,Tehran ,تهران,Iran,ایران,This video is a RASA TV Special Report on the life and accomplishments of Ezzatollah Sahabi.,این ویدیو به گزارش ویژه تلویزیون رسا پیرامون زندگی و دستاورد های عزت الله سحابی اختصاص دارد.,RASA TV,تلویزیون رسا,Ezzatollah Sahabi.,عزت الله سحابی,RASA TV Special Report ,گزارش ویژه تلویزیون رسا,moving image,Television programs,"3.1333,101.6833"
