old filename,file name,Date (Farsi),Date (Gregorian),Date (Normalized),Place (English),Place (Farsi),City (English-LCSH),City (Farsi),Country (English),Country (Farsi),Description (English),Description (Farsi),Keywords/Chants/Slogans (English),Keywords/Chants/Slogans (Farsi),Names (Farsi),Names (English),Title (English),Title (Farsi),Physical Type,"Lat, Lon",Genre (English),Genre (Farsi)
,diaspora0001.jpg,۲۴/۱۱/۱۳۸۸,2/13/10,2010-02-13,,ونکوور,Vancouver (B.C.),ونکوور,Canada,کانادا,"Over a hundred activists in Vancouver gathered the side of Winter Olympics highway, at the same time as the Winter Olympics opening, to show their support for the people of Iran, calling for an end to murder, torture, rape, and executions. The event was hosted by Neda for Freedom, a non-partisan, Vancouver-based human & civil rights organization working to promote basic rights in Iran.","بیش از صد نفر در ونکوور، همزمان با شروع مسابقات زمستانی المپیک، گردهم جمع شدند تا حمایت خود از مردم ایران را اعلام کنند و خواستار توقف شکنجه، اعدام، تجاوز، و قتل شوند. گروه ""ندا برای آزادی""  برگزارکننده این برنامه بود.",Neda for Freedom / Winter Olympics,ندا برای آزادی / المپیک زمستانی,,,Solidarity with Iran at the Olympics,همبستگی با ایران در المپیک,Photo,"49.2827, 123.1207",color photographs,عکس رنگی
,diaspora0002.jpg,۲۴/۱۱/۱۳۸۸,2/13/10,2010-02-13,,ونکوور,Vancouver (B.C.),ونکوور,Canada,کانادا,"Over a hundred activists in Vancouver gathered the side of Winter Olympics highway, at the same time as the Winter Olympics opening, to show their support for the people of Iran, calling for an end to murder, torture, rape, and executions. The event was hosted by Neda for Freedom, a non-partisan, Vancouver-based human & civil rights organization working to promote basic rights in Iran.","بیش از صد نفر در ونکوور، همزمان با شروع مسابقات زمستانی المپیک، گردهم جمع شدند تا حمایت خود از مردم ایران را اعلام کنند و خواستار توقف شکنجه، اعدام، تجاوز، و قتل شوند. گروه ""ندا برای آزادی""  برگزارکننده این برنامه بود.",Neda for Freedom / Winter Olympics,ندا برای آزادی / المپیک زمستانی,,,Solidarity with Iran at the Olympics,همبستگی با ایران در المپیک,Photo,"49.2827, 123.1207",color photographs,عکس رنگی
,diaspora0003.jpg,۲۴/۱۱/۱۳۸۸,2/13/10,2010-02-13,,ونکوور,Vancouver (B.C.),ونکوور,Canada,کانادا,"Over a hundred activists in Vancouver gathered the side of Winter Olympics highway, at the same time as the Winter Olympics opening, to show their support for the people of Iran, calling for an end to murder, torture, rape, and executions. The event was hosted by Neda for Freedom, a non-partisan, Vancouver-based human & civil rights organization working to promote basic rights in Iran.","بیش از صد نفر در ونکوور، همزمان با شروع مسابقات زمستانی المپیک، گردهم جمع شدند تا حمایت خود از مردم ایران را اعلام کنند و خواستار توقف شکنجه، اعدام، تجاوز، و قتل شوند. گروه ""ندا برای آزادی""  برگزارکننده این برنامه بود.",Neda for Freedom / Winter Olympics,ندا برای آزادی / المپیک زمستانی,,,Solidarity with Iran at the Olympics,همبستگی با ایران در المپیک,Photo,"49.2827, 123.1207",color photographs,عکس رنگی
,diaspora0004.jpg,۲۴/۱۱/۱۳۸۸,2/13/10,2010-02-13,,ونکوور,Vancouver (B.C.),ونکوور,Canada,کانادا,"Over a hundred activists in Vancouver gathered the side of Winter Olympics highway, at the same time as the Winter Olympics opening, to show their support for the people of Iran, calling for an end to murder, torture, rape, and executions. The event was hosted by Neda for Freedom, a non-partisan, Vancouver-based human & civil rights organization working to promote basic rights in Iran.","بیش از صد نفر در ونکوور، همزمان با شروع مسابقات زمستانی المپیک، گردهم جمع شدند تا حمایت خود از مردم ایران را اعلام کنند و خواستار توقف شکنجه، اعدام، تجاوز، و قتل شوند. گروه ""ندا برای آزادی""  برگزارکننده این برنامه بود.",Neda for Freedom / Winter Olympics,ندا برای آزادی / المپیک زمستانی,,,Solidarity with Iran at the Olympics,همبستگی با ایران در المپیک,Photo,"49.2827, 123.1207",color photographs,عکس رنگی
,diaspora0005.jpg,۲۴/۱۱/۱۳۸۸,2/13/10,2010-02-13,,ونکوور,Vancouver (B.C.),ونکوور,Canada,کانادا,"Over a hundred activists in Vancouver gathered the side of Winter Olympics highway, at the same time as the Winter Olympics opening, to show their support for the people of Iran, calling for an end to murder, torture, rape, and executions. The event was hosted by Neda for Freedom, a non-partisan, Vancouver-based human & civil rights organization working to promote basic rights in Iran.","بیش از صد نفر در ونکوور، همزمان با شروع مسابقات زمستانی المپیک، گردهم جمع شدند تا حمایت خود از مردم ایران را اعلام کنند و خواستار توقف شکنجه، اعدام، تجاوز، و قتل شوند. گروه ""ندا برای آزادی""  برگزارکننده این برنامه بود.",Neda for Freedom / Winter Olympics,ندا برای آزادی / المپیک زمستانی,,,Solidarity with Iran at the Olympics,همبستگی با ایران در المپیک,Photo,"49.2827, 123.1207",color photographs,عکس رنگی
,diaspora0006.jpg,۲۴/۱۱/۱۳۸۸,2/13/10,2010-02-13,,ونکوور,Vancouver (B.C.),ونکوور,Canada,کانادا,"Over a hundred activists in Vancouver gathered the side of Winter Olympics highway, at the same time as the Winter Olympics opening, to show their support for the people of Iran, calling for an end to murder, torture, rape, and executions. The event was hosted by Neda for Freedom, a non-partisan, Vancouver-based human & civil rights organization working to promote basic rights in Iran.","بیش از صد نفر در ونکوور، همزمان با شروع مسابقات زمستانی المپیک، گردهم جمع شدند تا حمایت خود از مردم ایران را اعلام کنند و خواستار توقف شکنجه، اعدام، تجاوز، و قتل شوند. گروه ""ندا برای آزادی""  برگزارکننده این برنامه بود.",Neda for Freedom / Winter Olympics,ندا برای آزادی / المپیک زمستانی,,,Solidarity with Iran at the Olympics,همبستگی با ایران در المپیک,Photo,"49.2827, 123.1207",color photographs,عکس رنگی
,diaspora0007.jpg,۲۴/۱۱/۱۳۸۸,2/13/10,2010-02-13,,ونکوور,Vancouver (B.C.),ونکوور,Canada,کانادا,"Over a hundred activists in Vancouver gathered the side of Winter Olympics highway, at the same time as the Winter Olympics opening, to show their support for the people of Iran, calling for an end to murder, torture, rape, and executions. The event was hosted by Neda for Freedom, a non-partisan, Vancouver-based human & civil rights organization working to promote basic rights in Iran.","بیش از صد نفر در ونکوور، همزمان با شروع مسابقات زمستانی المپیک، گردهم جمع شدند تا حمایت خود از مردم ایران را اعلام کنند و خواستار توقف شکنجه، اعدام، تجاوز، و قتل شوند. گروه ""ندا برای آزادی""  برگزارکننده این برنامه بود.",Neda for Freedom / Winter Olympics,ندا برای آزادی / المپیک زمستانی,,,Solidarity with Iran at the Olympics,همبستگی با ایران در المپیک,Photo,"49.2827, 123.1207",color photographs,عکس رنگی
,diaspora0008.jpg,۲۴/۱۱/۱۳۸۸,2/13/10,2010-02-13,,ونکوور,Vancouver (B.C.),ونکوور,Canada,کانادا,"Over a hundred activists in Vancouver gathered the side of Winter Olympics highway, at the same time as the Winter Olympics opening, to show their support for the people of Iran, calling for an end to murder, torture, rape, and executions. The event was hosted by Neda for Freedom, a non-partisan, Vancouver-based human & civil rights organization working to promote basic rights in Iran.","بیش از صد نفر در ونکوور، همزمان با شروع مسابقات زمستانی المپیک، گردهم جمع شدند تا حمایت خود از مردم ایران را اعلام کنند و خواستار توقف شکنجه، اعدام، تجاوز، و قتل شوند. گروه ""ندا برای آزادی""  برگزارکننده این برنامه بود.",Neda for Freedom / Winter Olympics,ندا برای آزادی / المپیک زمستانی,,,Solidarity with Iran at the Olympics,همبستگی با ایران در المپیک,Photo,"49.2827, 123.1207",color photographs,عکس رنگی
,diaspora0009.jpg,۲۴/۱۱/۱۳۸۸,2/13/10,2010-02-13,,ونکوور,Vancouver (B.C.),ونکوور,Canada,کانادا,"Over a hundred activists in Vancouver gathered the side of Winter Olympics highway, at the same time as the Winter Olympics opening, to show their support for the people of Iran, calling for an end to murder, torture, rape, and executions. The event was hosted by Neda for Freedom, a non-partisan, Vancouver-based human & civil rights organization working to promote basic rights in Iran.","بیش از صد نفر در ونکوور، همزمان با شروع مسابقات زمستانی المپیک، گردهم جمع شدند تا حمایت خود از مردم ایران را اعلام کنند و خواستار توقف شکنجه، اعدام، تجاوز، و قتل شوند. گروه ""ندا برای آزادی""  برگزارکننده این برنامه بود.",Neda for Freedom / Winter Olympics,ندا برای آزادی / المپیک زمستانی,,,Solidarity with Iran at the Olympics,همبستگی با ایران در المپیک,Photo,"49.2827, 123.1207",color photographs,عکس رنگی
,diaspora0010.jpg,۲۴/۱۱/۱۳۸۸,2/13/10,2010-02-13,,ونکوور,Vancouver (B.C.),ونکوور,Canada,کانادا,"Over a hundred activists in Vancouver gathered the side of Winter Olympics highway, at the same time as the Winter Olympics opening, to show their support for the people of Iran, calling for an end to murder, torture, rape, and executions. The event was hosted by Neda for Freedom, a non-partisan, Vancouver-based human & civil rights organization working to promote basic rights in Iran.","بیش از صد نفر در ونکوور، همزمان با شروع مسابقات زمستانی المپیک، گردهم جمع شدند تا حمایت خود از مردم ایران را اعلام کنند و خواستار توقف شکنجه، اعدام، تجاوز، و قتل شوند. گروه ""ندا برای آزادی""  برگزارکننده این برنامه بود.",Neda for Freedom / Winter Olympics,ندا برای آزادی / المپیک زمستانی,,,Solidarity with Iran at the Olympics,همبستگی با ایران در المپیک,Photo,"49.2827, 123.1207",color photographs,عکس رنگی
,diaspora0011.jpg,۲۴/۱۱/۱۳۸۸,2/13/10,2010-02-13,,ونکوور,Vancouver (B.C.),ونکوور,Canada,کانادا,"Over a hundred activists in Vancouver gathered the side of Winter Olympics highway, at the same time as the Winter Olympics opening, to show their support for the people of Iran, calling for an end to murder, torture, rape, and executions. The event was hosted by Neda for Freedom, a non-partisan, Vancouver-based human & civil rights organization working to promote basic rights in Iran.","بیش از صد نفر در ونکوور، همزمان با شروع مسابقات زمستانی المپیک، گردهم جمع شدند تا حمایت خود از مردم ایران را اعلام کنند و خواستار توقف شکنجه، اعدام، تجاوز، و قتل شوند. گروه ""ندا برای آزادی""  برگزارکننده این برنامه بود.",Neda for Freedom / Winter Olympics,ندا برای آزادی / المپیک زمستانی,,,Solidarity with Iran at the Olympics,همبستگی با ایران در المپیک,Photo,"49.2827, 123.1207",color photographs,عکس رنگی
